"time","metric","scenario","group","load_zone","tags","count"
"2025-09-17T20:43:21+00:00","data_received","default","","amazon:us:columbus","{}",362432
"2025-09-17T20:43:21+00:00","data_received","default","::setup","amazon:us:columbus","{}",602
"2025-09-17T20:43:24+00:00","data_received","default","","amazon:us:columbus","{}",827426
"2025-09-17T20:43:27+00:00","data_received","default","","amazon:us:columbus","{}",924367
"2025-09-17T20:43:30+00:00","data_received","default","","amazon:us:columbus","{}",958200
"2025-09-17T20:43:33+00:00","data_received","default","","amazon:us:columbus","{}",957753
"2025-09-17T20:43:36+00:00","data_received","default","","amazon:us:columbus","{}",962428
"2025-09-17T20:43:39+00:00","data_received","default","","amazon:us:columbus","{}",955285
"2025-09-17T20:43:42+00:00","data_received","default","","amazon:us:columbus","{}",954813
"2025-09-17T20:43:45+00:00","data_received","default","","amazon:us:columbus","{}",946222
"2025-09-17T20:43:48+00:00","data_received","default","","amazon:us:columbus","{}",977300
"2025-09-17T20:43:51+00:00","data_received","default","","amazon:us:columbus","{}",971032
"2025-09-17T20:43:54+00:00","data_received","default","","amazon:us:columbus","{}",920876
"2025-09-17T20:43:57+00:00","data_received","default","","amazon:us:columbus","{}",962552
"2025-09-17T20:44:00+00:00","data_received","default","","amazon:us:columbus","{}",800297
"2025-09-17T20:44:03+00:00","data_received","default","","amazon:us:columbus","{}",935056
"2025-09-17T20:44:06+00:00","data_received","default","","amazon:us:columbus","{}",963957
"2025-09-17T20:44:09+00:00","data_received","default","","amazon:us:columbus","{}",961009
"2025-09-17T20:44:12+00:00","data_received","default","","amazon:us:columbus","{}",977498
"2025-09-17T20:44:15+00:00","data_received","default","","amazon:us:columbus","{}",978431
"2025-09-17T20:44:18+00:00","data_received","default","","amazon:us:columbus","{}",976099
"2025-09-17T20:44:21+00:00","data_received","default","","amazon:us:columbus","{}",503252
