"time","metric","scenario","group","load_zone","tags","count"
"2025-09-17T20:43:21+00:00","data_sent","default","","amazon:us:columbus","{}",582800
"2025-09-17T20:43:21+00:00","data_sent","default","::setup","amazon:us:columbus","{}",224
"2025-09-17T20:43:24+00:00","data_sent","default","","amazon:us:columbus","{}",1337703
"2025-09-17T20:43:27+00:00","data_sent","default","","amazon:us:columbus","{}",1500450
"2025-09-17T20:43:30+00:00","data_sent","default","","amazon:us:columbus","{}",1551733
"2025-09-17T20:43:33+00:00","data_sent","default","","amazon:us:columbus","{}",1540020
"2025-09-17T20:43:36+00:00","data_sent","default","","amazon:us:columbus","{}",1557023
"2025-09-17T20:43:39+00:00","data_sent","default","","amazon:us:columbus","{}",1567922
"2025-09-17T20:43:42+00:00","data_sent","default","","amazon:us:columbus","{}",1556590
"2025-09-17T20:43:45+00:00","data_sent","default","","amazon:us:columbus","{}",1533962
"2025-09-17T20:43:48+00:00","data_sent","default","","amazon:us:columbus","{}",1579982
"2025-09-17T20:43:51+00:00","data_sent","default","","amazon:us:columbus","{}",1565073
"2025-09-17T20:43:54+00:00","data_sent","default","","amazon:us:columbus","{}",1424129
"2025-09-17T20:43:57+00:00","data_sent","default","","amazon:us:columbus","{}",1495224
"2025-09-17T20:44:00+00:00","data_sent","default","","amazon:us:columbus","{}",1258131
"2025-09-17T20:44:03+00:00","data_sent","default","","amazon:us:columbus","{}",1510930
"2025-09-17T20:44:06+00:00","data_sent","default","","amazon:us:columbus","{}",1562642
"2025-09-17T20:44:09+00:00","data_sent","default","","amazon:us:columbus","{}",1564676
"2025-09-17T20:44:12+00:00","data_sent","default","","amazon:us:columbus","{}",1593325
"2025-09-17T20:44:15+00:00","data_sent","default","","amazon:us:columbus","{}",1594944
"2025-09-17T20:44:18+00:00","data_sent","default","","amazon:us:columbus","{}",1594973
"2025-09-17T20:44:21+00:00","data_sent","default","","amazon:us:columbus","{}",820707
