"time","metric","scenario","group","load_zone","tags","count"
"2025-09-17T20:43:21+00:00","iterations","default","","amazon:us:columbus","{}",1443
"2025-09-17T20:43:24+00:00","iterations","default","","amazon:us:columbus","{}",3312
"2025-09-17T20:43:27+00:00","iterations","default","","amazon:us:columbus","{}",3715
"2025-09-17T20:43:30+00:00","iterations","default","","amazon:us:columbus","{}",3842
"2025-09-17T20:43:33+00:00","iterations","default","","amazon:us:columbus","{}",3813
"2025-09-17T20:43:36+00:00","iterations","default","","amazon:us:columbus","{}",3855
"2025-09-17T20:43:39+00:00","iterations","default","","amazon:us:columbus","{}",3882
"2025-09-17T20:43:42+00:00","iterations","default","","amazon:us:columbus","{}",3854
"2025-09-17T20:43:45+00:00","iterations","default","","amazon:us:columbus","{}",3798
"2025-09-17T20:43:48+00:00","iterations","default","","amazon:us:columbus","{}",3912
"2025-09-17T20:43:51+00:00","iterations","default","","amazon:us:columbus","{}",3875
"2025-09-17T20:43:54+00:00","iterations","default","","amazon:us:columbus","{}",3526
"2025-09-17T20:43:57+00:00","iterations","default","","amazon:us:columbus","{}",3702
"2025-09-17T20:44:00+00:00","iterations","default","","amazon:us:columbus","{}",3115
"2025-09-17T20:44:03+00:00","iterations","default","","amazon:us:columbus","{}",3741
"2025-09-17T20:44:06+00:00","iterations","default","","amazon:us:columbus","{}",3869
"2025-09-17T20:44:09+00:00","iterations","default","","amazon:us:columbus","{}",3874
"2025-09-17T20:44:12+00:00","iterations","default","","amazon:us:columbus","{}",3945
"2025-09-17T20:44:15+00:00","iterations","default","","amazon:us:columbus","{}",3949
"2025-09-17T20:44:18+00:00","iterations","default","","amazon:us:columbus","{}",3949
"2025-09-17T20:44:21+00:00","iterations","default","","amazon:us:columbus","{}",2032
